Realistic,Investigative,Artistic,Social,Enterprising,Conventional,pct_Realistic,pct_Investigative,pct_Artistic,pct_Social,pct_Enterprising,pct_Conventional
10,26,9,16,10,12,0.12048192771084337,0.3132530120481928,0.10843373493975904,0.1927710843373494,0.12048192771084337,0.14457831325301204
9,24,7,10,11,13,0.12162162162162163,0.32432432432432434,0.0945945945945946,0.13513513513513514,0.14864864864864866,0.17567567567567569
10,32,12,17,10,9,0.1111111111111111,0.35555555555555557,0.13333333333333333,0.18888888888888888,0.1111111111111111,0.1
8,27,13,17,10,9,0.09523809523809523,0.32142857142857145,0.15476190476190477,0.20238095238095238,0.11904761904761904,0.10714285714285714
7,31,10,15,6,9,0.08974358974358974,0.3974358974358974,0.1282051282051282,0.19230769230769232,0.07692307692307693,0.11538461538461539
9,22,17,15,11,10,0.10714285714285714,0.2619047619047619,0.20238095238095238,0.17857142857142858,0.13095238095238096,0.11904761904761904
11,23,15,17,10,10,0.12790697674418605,0.26744186046511625,0.1744186046511628,0.19767441860465115,0.11627906976744186,0.11627906976744186
10,24,14,12,10,11,0.12345679012345678,0.2962962962962963,0.1728395061728395,0.14814814814814814,0.12345679012345678,0.13580246913580246
11,27,12,9,14,10,0.13253012048192772,0.3253012048192771,0.14457831325301204,0.10843373493975904,0.1686746987951807,0.12048192771084337
10,30,10,12,7,7,0.13157894736842105,0.39473684210526316,0.13157894736842105,0.15789473684210525,0.09210526315789473,0.09210526315789473
8,24,16,12,7,10,0.1038961038961039,0.3116883116883117,0.2077922077922078,0.15584415584415584,0.09090909090909091,0.12987012987012986
10,33,10,12,12,6,0.12048192771084337,0.39759036144578314,0.12048192771084337,0.14457831325301204,0.14457831325301204,0.07228915662650602
13,25,10,13,9,9,0.16455696202531644,0.31645569620253167,0.12658227848101267,0.16455696202531644,0.11392405063291139,0.11392405063291139
8,26,13,15,8,10,0.1,0.325,0.1625,0.1875,0.1,0.125
12,23,11,11,9,9,0.16,0.30666666666666664,0.14666666666666667,0.14666666666666667,0.12,0.12
9,21,17,11,10,12,0.1125,0.2625,0.2125,0.1375,0.125,0.15
11,22,11,13,9,6,0.1527777777777778,0.3055555555555556,0.1527777777777778,0.18055555555555555,0.125,0.08333333333333333
12,24,14,12,12,12,0.13953488372093023,0.27906976744186046,0.16279069767441862,0.13953488372093023,0.13953488372093023,0.13953488372093023
12,27,12,13,13,9,0.13953488372093023,0.313953488372093,0.13953488372093023,0.1511627906976744,0.1511627906976744,0.10465116279069768
9,34,13,12,7,11,0.10465116279069768,0.3953488372093023,0.1511627906976744,0.13953488372093023,0.08139534883720931,0.12790697674418605
13,26,15,13,8,7,0.15853658536585366,0.3170731707317073,0.18292682926829268,0.15853658536585366,0.0975609756097561,0.08536585365853659
12,30,15,12,8,8,0.1411764705882353,0.35294117647058826,0.17647058823529413,0.1411764705882353,0.09411764705882353,0.09411764705882353
9,26,16,11,8,10,0.1125,0.325,0.2,0.1375,0.1,0.125
6,25,17,13,11,7,0.0759493670886076,0.31645569620253167,0.21518987341772153,0.16455696202531644,0.13924050632911392,0.08860759493670886
12,24,10,15,6,6,0.1643835616438356,0.3287671232876712,0.136986301369863,0.2054794520547945,0.0821917808219178,0.0821917808219178
8,30,11,11,9,7,0.10526315789473684,0.39473684210526316,0.14473684210526316,0.14473684210526316,0.11842105263157894,0.09210526315789473
9,29,10,12,5,13,0.11538461538461539,0.3717948717948718,0.1282051282051282,0.15384615384615385,0.0641025641025641,0.16666666666666666
10,25,15,17,9,8,0.11904761904761904,0.2976190476190476,0.17857142857142858,0.20238095238095238,0.10714285714285714,0.09523809523809523
8,27,12,14,10,10,0.09876543209876543,0.3333333333333333,0.14814814814814814,0.1728395061728395,0.12345679012345678,0.12345679012345678
11,23,14,14,11,9,0.13414634146341464,0.2804878048780488,0.17073170731707318,0.17073170731707318,0.13414634146341464,0.10975609756097561
14,26,13,13,10,7,0.1686746987951807,0.3132530120481928,0.1566265060240964,0.1566265060240964,0.12048192771084337,0.08433734939759036
11,28,14,11,11,7,0.13414634146341464,0.34146341463414637,0.17073170731707318,0.13414634146341464,0.13414634146341464,0.08536585365853659
7,33,14,11,11,11,0.08045977011494253,0.3793103448275862,0.16091954022988506,0.12643678160919541,0.12643678160919541,0.12643678160919541
8,21,13,11,12,7,0.1111111111111111,0.2916666666666667,0.18055555555555555,0.1527777777777778,0.16666666666666666,0.09722222222222222
10,24,9,14,7,8,0.1388888888888889,0.3333333333333333,0.125,0.19444444444444445,0.09722222222222222,0.1111111111111111
8,22,11,16,8,10,0.10666666666666667,0.29333333333333333,0.14666666666666667,0.21333333333333335,0.10666666666666667,0.13333333333333333
7,32,13,15,10,9,0.08139534883720931,0.37209302325581395,0.1511627906976744,0.1744186046511628,0.11627906976744186,0.10465116279069768
11,33,13,10,7,8,0.13414634146341464,0.4024390243902439,0.15853658536585366,0.12195121951219512,0.08536585365853659,0.0975609756097561
6,24,14,15,13,10,0.07317073170731707,0.2926829268292683,0.17073170731707318,0.18292682926829268,0.15853658536585366,0.12195121951219512
10,22,15,11,11,9,0.1282051282051282,0.28205128205128205,0.19230769230769232,0.14102564102564102,0.14102564102564102,0.11538461538461539
10,26,11,11,8,14,0.125,0.325,0.1375,0.1375,0.1,0.175
8,25,15,12,11,11,0.0975609756097561,0.3048780487804878,0.18292682926829268,0.14634146341463414,0.13414634146341464,0.13414634146341464
8,25,15,6,7,9,0.11428571428571428,0.35714285714285715,0.21428571428571427,0.08571428571428572,0.1,0.12857142857142856
9,24,18,13,9,8,0.1111111111111111,0.2962962962962963,0.2222222222222222,0.16049382716049382,0.1111111111111111,0.09876543209876543
10,25,9,12,12,9,0.12987012987012986,0.3246753246753247,0.11688311688311688,0.15584415584415584,0.15584415584415584,0.11688311688311688
10,23,10,13,12,10,0.1282051282051282,0.2948717948717949,0.1282051282051282,0.16666666666666666,0.15384615384615385,0.1282051282051282
9,25,10,15,6,11,0.11842105263157894,0.32894736842105265,0.13157894736842105,0.19736842105263158,0.07894736842105263,0.14473684210526316
9,22,12,10,13,11,0.11688311688311688,0.2857142857142857,0.15584415584415584,0.12987012987012986,0.16883116883116883,0.14285714285714285
11,34,12,9,8,8,0.13414634146341464,0.4146341463414634,0.14634146341463414,0.10975609756097561,0.0975609756097561,0.0975609756097561
8,21,9,19,7,9,0.1095890410958904,0.2876712328767123,0.1232876712328767,0.2602739726027397,0.0958904109589041,0.1232876712328767
10,27,13,9,12,10,0.12345679012345678,0.3333333333333333,0.16049382716049382,0.1111111111111111,0.14814814814814814,0.12345679012345678
10,24,11,18,8,9,0.125,0.3,0.1375,0.225,0.1,0.1125
9,22,9,11,11,10,0.125,0.3055555555555556,0.125,0.1527777777777778,0.1527777777777778,0.1388888888888889
7,28,12,11,9,10,0.09090909090909091,0.36363636363636365,0.15584415584415584,0.14285714285714285,0.11688311688311688,0.12987012987012986
10,26,16,12,14,10,0.11363636363636363,0.29545454545454547,0.18181818181818182,0.13636363636363635,0.1590909090909091,0.11363636363636363
13,21,14,14,10,7,0.16455696202531644,0.26582278481012656,0.17721518987341772,0.17721518987341772,0.12658227848101267,0.08860759493670886
10,22,11,10,8,8,0.14492753623188406,0.3188405797101449,0.15942028985507245,0.14492753623188406,0.11594202898550725,0.11594202898550725
8,22,14,10,8,7,0.11594202898550725,0.3188405797101449,0.2028985507246377,0.14492753623188406,0.11594202898550725,0.10144927536231885
11,27,11,10,13,8,0.1375,0.3375,0.1375,0.125,0.1625,0.1
7,32,12,11,10,10,0.08536585365853659,0.3902439024390244,0.14634146341463414,0.13414634146341464,0.12195121951219512,0.12195121951219512
8,27,10,11,15,10,0.09876543209876543,0.3333333333333333,0.12345679012345678,0.13580246913580246,0.18518518518518517,0.12345679012345678
12,24,12,12,11,11,0.14634146341463414,0.2926829268292683,0.14634146341463414,0.14634146341463414,0.13414634146341464,0.13414634146341464
11,34,11,9,9,8,0.13414634146341464,0.4146341463414634,0.13414634146341464,0.10975609756097561,0.10975609756097561,0.0975609756097561
7,21,12,16,12,13,0.08641975308641975,0.25925925925925924,0.14814814814814814,0.19753086419753085,0.14814814814814814,0.16049382716049382
7,18,14,17,9,9,0.0945945945945946,0.24324324324324326,0.1891891891891892,0.22972972972972974,0.12162162162162163,0.12162162162162163
6,25,19,11,10,11,0.07317073170731707,0.3048780487804878,0.23170731707317074,0.13414634146341464,0.12195121951219512,0.13414634146341464
9,29,12,12,7,10,0.11392405063291139,0.3670886075949367,0.1518987341772152,0.1518987341772152,0.08860759493670886,0.12658227848101267
7,32,16,13,8,9,0.08235294117647059,0.3764705882352941,0.18823529411764706,0.15294117647058825,0.09411764705882353,0.10588235294117647
6,34,14,10,11,12,0.06896551724137931,0.39080459770114945,0.16091954022988506,0.11494252873563218,0.12643678160919541,0.13793103448275862
11,23,11,17,9,6,0.14285714285714285,0.2987012987012987,0.14285714285714285,0.22077922077922077,0.11688311688311688,0.07792207792207792
12,21,18,15,10,10,0.13953488372093023,0.2441860465116279,0.20930232558139536,0.1744186046511628,0.11627906976744186,0.11627906976744186
13,27,18,9,10,8,0.15294117647058825,0.3176470588235294,0.21176470588235294,0.10588235294117647,0.11764705882352941,0.09411764705882353
11,26,11,13,7,10,0.14102564102564102,0.3333333333333333,0.14102564102564102,0.16666666666666666,0.08974358974358974,0.1282051282051282
7,29,11,12,7,9,0.09333333333333334,0.38666666666666666,0.14666666666666667,0.16,0.09333333333333334,0.12
10,30,11,15,8,5,0.12658227848101267,0.379746835443038,0.13924050632911392,0.189873417721519,0.10126582278481013,0.06329113924050633
9,27,9,13,10,12,0.1125,0.3375,0.1125,0.1625,0.125,0.15
7,28,9,10,11,8,0.0958904109589041,0.3835616438356164,0.1232876712328767,0.136986301369863,0.1506849315068493,0.1095890410958904
9,23,6,13,12,9,0.125,0.3194444444444444,0.08333333333333333,0.18055555555555555,0.16666666666666666,0.125
9,28,17,12,7,10,0.10843373493975904,0.3373493975903614,0.20481927710843373,0.14457831325301204,0.08433734939759036,0.12048192771084337
6,23,13,18,9,10,0.0759493670886076,0.2911392405063291,0.16455696202531644,0.22784810126582278,0.11392405063291139,0.12658227848101267
7,27,13,17,5,10,0.08860759493670886,0.34177215189873417,0.16455696202531644,0.21518987341772153,0.06329113924050633,0.12658227848101267
9,27,10,15,9,8,0.11538461538461539,0.34615384615384615,0.1282051282051282,0.19230769230769232,0.11538461538461539,0.10256410256410256
9,20,8,10,13,7,0.13432835820895522,0.29850746268656714,0.11940298507462686,0.14925373134328357,0.19402985074626866,0.1044776119402985
5,25,12,11,12,8,0.0684931506849315,0.3424657534246575,0.1643835616438356,0.1506849315068493,0.1643835616438356,0.1095890410958904
11,21,16,10,7,9,0.14864864864864866,0.28378378378378377,0.21621621621621623,0.13513513513513514,0.0945945945945946,0.12162162162162163
8,21,14,13,9,13,0.10256410256410256,0.2692307692307692,0.1794871794871795,0.16666666666666666,0.11538461538461539,0.16666666666666666
7,24,12,12,12,11,0.08974358974358974,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.14102564102564102
9,21,11,15,9,8,0.1232876712328767,0.2876712328767123,0.1506849315068493,0.2054794520547945,0.1232876712328767,0.1095890410958904
7,20,11,15,8,7,0.10294117647058823,0.29411764705882354,0.16176470588235295,0.22058823529411764,0.11764705882352941,0.10294117647058823
11,22,11,17,8,9,0.14102564102564102,0.28205128205128205,0.14102564102564102,0.21794871794871795,0.10256410256410256,0.11538461538461539
9,31,16,13,6,11,0.10465116279069768,0.36046511627906974,0.18604651162790697,0.1511627906976744,0.06976744186046512,0.12790697674418605
8,23,14,10,11,11,0.1038961038961039,0.2987012987012987,0.18181818181818182,0.12987012987012986,0.14285714285714285,0.14285714285714285
12,30,14,12,9,9,0.13953488372093023,0.3488372093023256,0.16279069767441862,0.13953488372093023,0.10465116279069768,0.10465116279069768
8,26,7,19,10,7,0.1038961038961039,0.33766233766233766,0.09090909090909091,0.24675324675324675,0.12987012987012986,0.09090909090909091
9,22,12,10,14,14,0.1111111111111111,0.2716049382716049,0.14814814814814814,0.12345679012345678,0.1728395061728395,0.1728395061728395
7,32,14,9,10,12,0.08333333333333333,0.38095238095238093,0.16666666666666666,0.10714285714285714,0.11904761904761904,0.14285714285714285
8,19,12,14,6,7,0.12121212121212122,0.2878787878787879,0.18181818181818182,0.21212121212121213,0.09090909090909091,0.10606060606060606
10,24,13,12,10,13,0.12195121951219512,0.2926829268292683,0.15853658536585366,0.14634146341463414,0.12195121951219512,0.15853658536585366
9,24,15,9,11,8,0.11842105263157894,0.3157894736842105,0.19736842105263158,0.11842105263157894,0.14473684210526316,0.10526315789473684
8,25,14,17,13,9,0.09302325581395349,0.29069767441860467,0.16279069767441862,0.19767441860465115,0.1511627906976744,0.10465116279069768
11,30,10,13,9,11,0.13095238095238096,0.35714285714285715,0.11904761904761904,0.15476190476190477,0.10714285714285714,0.13095238095238096
8,23,9,12,11,13,0.10526315789473684,0.3026315789473684,0.11842105263157894,0.15789473684210525,0.14473684210526316,0.17105263157894737
8,21,14,12,8,8,0.11267605633802817,0.29577464788732394,0.19718309859154928,0.16901408450704225,0.11267605633802817,0.11267605633802817
11,32,13,13,8,10,0.12643678160919541,0.367816091954023,0.14942528735632185,0.14942528735632185,0.09195402298850575,0.11494252873563218
14,23,11,14,6,8,0.18421052631578946,0.3026315789473684,0.14473684210526316,0.18421052631578946,0.07894736842105263,0.10526315789473684
12,36,14,12,6,11,0.13186813186813187,0.3956043956043956,0.15384615384615385,0.13186813186813187,0.06593406593406594,0.12087912087912088
7,27,13,14,11,7,0.08860759493670886,0.34177215189873417,0.16455696202531644,0.17721518987341772,0.13924050632911392,0.08860759493670886
7,23,14,9,11,9,0.0958904109589041,0.3150684931506849,0.1917808219178082,0.1232876712328767,0.1506849315068493,0.1232876712328767
13,23,17,12,10,9,0.15476190476190477,0.27380952380952384,0.20238095238095238,0.14285714285714285,0.11904761904761904,0.10714285714285714
13,25,15,11,12,8,0.15476190476190477,0.2976190476190476,0.17857142857142858,0.13095238095238096,0.14285714285714285,0.09523809523809523
7,28,11,10,11,9,0.09210526315789473,0.3684210526315789,0.14473684210526316,0.13157894736842105,0.14473684210526316,0.11842105263157894
8,23,16,14,7,9,0.1038961038961039,0.2987012987012987,0.2077922077922078,0.18181818181818182,0.09090909090909091,0.11688311688311688
9,24,11,11,9,9,0.1232876712328767,0.3287671232876712,0.1506849315068493,0.1506849315068493,0.1232876712328767,0.1232876712328767
9,30,10,8,9,8,0.12162162162162163,0.40540540540540543,0.13513513513513514,0.10810810810810811,0.12162162162162163,0.10810810810810811
9,17,12,11,8,8,0.13846153846153847,0.26153846153846155,0.18461538461538463,0.16923076923076924,0.12307692307692308,0.12307692307692308
8,33,10,13,9,11,0.09523809523809523,0.39285714285714285,0.11904761904761904,0.15476190476190477,0.10714285714285714,0.13095238095238096
7,21,16,12,8,10,0.0945945945945946,0.28378378378378377,0.21621621621621623,0.16216216216216217,0.10810810810810811,0.13513513513513514
10,34,13,10,5,9,0.12345679012345678,0.41975308641975306,0.16049382716049382,0.12345679012345678,0.06172839506172839,0.1111111111111111
11,22,11,13,14,10,0.13580246913580246,0.2716049382716049,0.13580246913580246,0.16049382716049382,0.1728395061728395,0.12345679012345678
10,27,13,11,8,9,0.1282051282051282,0.34615384615384615,0.16666666666666666,0.14102564102564102,0.10256410256410256,0.11538461538461539
10,31,15,10,12,9,0.11494252873563218,0.3563218390804598,0.1724137931034483,0.11494252873563218,0.13793103448275862,0.10344827586206896
13,21,15,11,12,7,0.16455696202531644,0.26582278481012656,0.189873417721519,0.13924050632911392,0.1518987341772152,0.08860759493670886
11,18,14,12,8,9,0.1527777777777778,0.25,0.19444444444444445,0.16666666666666666,0.1111111111111111,0.125
8,24,12,17,11,12,0.09523809523809523,0.2857142857142857,0.14285714285714285,0.20238095238095238,0.13095238095238096,0.14285714285714285
11,19,12,13,7,12,0.14864864864864866,0.25675675675675674,0.16216216216216217,0.17567567567567569,0.0945945945945946,0.16216216216216217
11,23,12,12,10,11,0.13924050632911392,0.2911392405063291,0.1518987341772152,0.1518987341772152,0.12658227848101267,0.13924050632911392
6,25,17,12,8,10,0.07692307692307693,0.32051282051282054,0.21794871794871795,0.15384615384615385,0.10256410256410256,0.1282051282051282
11,24,15,11,11,7,0.13924050632911392,0.3037974683544304,0.189873417721519,0.13924050632911392,0.13924050632911392,0.08860759493670886
10,25,11,11,11,8,0.13157894736842105,0.32894736842105265,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.10526315789473684
8,21,10,18,9,6,0.1111111111111111,0.2916666666666667,0.1388888888888889,0.25,0.125,0.08333333333333333
5,22,16,10,8,7,0.07352941176470588,0.3235294117647059,0.23529411764705882,0.14705882352941177,0.11764705882352941,0.10294117647058823
9,27,16,10,11,7,0.1125,0.3375,0.2,0.125,0.1375,0.0875
10,33,10,10,8,12,0.12048192771084337,0.39759036144578314,0.12048192771084337,0.12048192771084337,0.0963855421686747,0.14457831325301204
7,26,9,10,9,14,0.09333333333333334,0.3466666666666667,0.12,0.13333333333333333,0.12,0.18666666666666668
8,26,9,13,6,10,0.1111111111111111,0.3611111111111111,0.125,0.18055555555555555,0.08333333333333333,0.1388888888888889
6,30,12,14,8,10,0.075,0.375,0.15,0.175,0.1,0.125
5,22,12,11,10,10,0.07142857142857142,0.3142857142857143,0.17142857142857143,0.15714285714285714,0.14285714285714285,0.14285714285714285
8,22,15,13,10,9,0.1038961038961039,0.2857142857142857,0.19480519480519481,0.16883116883116883,0.12987012987012986,0.11688311688311688
11,27,13,8,9,7,0.14666666666666667,0.36,0.17333333333333334,0.10666666666666667,0.12,0.09333333333333334
9,21,9,17,12,5,0.1232876712328767,0.2876712328767123,0.1232876712328767,0.2328767123287671,0.1643835616438356,0.0684931506849315
9,31,16,14,12,10,0.09782608695652174,0.33695652173913043,0.17391304347826086,0.15217391304347827,0.13043478260869565,0.10869565217391304
14,25,10,7,10,8,0.1891891891891892,0.33783783783783783,0.13513513513513514,0.0945945945945946,0.13513513513513514,0.10810810810810811
12,21,12,12,10,7,0.16216216216216217,0.28378378378378377,0.16216216216216217,0.16216216216216217,0.13513513513513514,0.0945945945945946
11,32,16,9,7,9,0.13095238095238096,0.38095238095238093,0.19047619047619047,0.10714285714285714,0.08333333333333333,0.10714285714285714
7,26,19,8,11,8,0.08860759493670886,0.3291139240506329,0.24050632911392406,0.10126582278481013,0.13924050632911392,0.10126582278481013
8,23,17,16,9,10,0.0963855421686747,0.27710843373493976,0.20481927710843373,0.1927710843373494,0.10843373493975904,0.12048192771084337
8,30,15,11,6,10,0.1,0.375,0.1875,0.1375,0.075,0.125
11,23,8,11,11,7,0.15492957746478872,0.323943661971831,0.11267605633802817,0.15492957746478872,0.15492957746478872,0.09859154929577464
10,23,13,17,9,10,0.12195121951219512,0.2804878048780488,0.15853658536585366,0.2073170731707317,0.10975609756097561,0.12195121951219512
7,33,12,15,9,8,0.08333333333333333,0.39285714285714285,0.14285714285714285,0.17857142857142858,0.10714285714285714,0.09523809523809523
13,24,15,13,13,9,0.14942528735632185,0.27586206896551724,0.1724137931034483,0.14942528735632185,0.14942528735632185,0.10344827586206896
8,22,15,15,8,10,0.10256410256410256,0.28205128205128205,0.19230769230769232,0.19230769230769232,0.10256410256410256,0.1282051282051282
9,24,12,9,10,11,0.12,0.32,0.16,0.12,0.13333333333333333,0.14666666666666667
6,20,13,12,10,11,0.08333333333333333,0.2777777777777778,0.18055555555555555,0.16666666666666666,0.1388888888888889,0.1527777777777778
7,24,12,11,6,12,0.09722222222222222,0.3333333333333333,0.16666666666666666,0.1527777777777778,0.08333333333333333,0.16666666666666666
10,21,10,18,8,10,0.12987012987012986,0.2727272727272727,0.12987012987012986,0.23376623376623376,0.1038961038961039,0.12987012987012986
11,23,15,13,9,9,0.1375,0.2875,0.1875,0.1625,0.1125,0.1125
10,18,13,15,9,11,0.13157894736842105,0.23684210526315788,0.17105263157894737,0.19736842105263158,0.11842105263157894,0.14473684210526316
11,29,12,11,12,12,0.12643678160919541,0.3333333333333333,0.13793103448275862,0.12643678160919541,0.13793103448275862,0.13793103448275862
9,31,12,12,9,13,0.10465116279069768,0.36046511627906974,0.13953488372093023,0.13953488372093023,0.10465116279069768,0.1511627906976744
11,30,11,13,7,9,0.13580246913580246,0.37037037037037035,0.13580246913580246,0.16049382716049382,0.08641975308641975,0.1111111111111111
10,33,15,13,7,5,0.12048192771084337,0.39759036144578314,0.18072289156626506,0.1566265060240964,0.08433734939759036,0.060240963855421686
10,21,6,10,11,11,0.14492753623188406,0.30434782608695654,0.08695652173913043,0.14492753623188406,0.15942028985507245,0.15942028985507245
13,22,12,18,10,8,0.1566265060240964,0.26506024096385544,0.14457831325301204,0.21686746987951808,0.12048192771084337,0.0963855421686747
8,29,15,14,9,8,0.0963855421686747,0.3493975903614458,0.18072289156626506,0.1686746987951807,0.10843373493975904,0.0963855421686747
9,29,12,13,12,9,0.10714285714285714,0.34523809523809523,0.14285714285714285,0.15476190476190477,0.14285714285714285,0.10714285714285714
6,26,14,12,9,13,0.075,0.325,0.175,0.15,0.1125,0.1625
9,21,12,17,9,11,0.11392405063291139,0.26582278481012656,0.1518987341772152,0.21518987341772153,0.11392405063291139,0.13924050632911392
9,28,10,11,6,8,0.125,0.3888888888888889,0.1388888888888889,0.1527777777777778,0.08333333333333333,0.1111111111111111
8,27,10,15,8,7,0.10666666666666667,0.36,0.13333333333333333,0.2,0.10666666666666667,0.09333333333333334
12,22,11,18,9,9,0.14814814814814814,0.2716049382716049,0.13580246913580246,0.2222222222222222,0.1111111111111111,0.1111111111111111
11,20,12,16,10,13,0.13414634146341464,0.24390243902439024,0.14634146341463414,0.1951219512195122,0.12195121951219512,0.15853658536585366
10,29,16,11,6,9,0.12345679012345678,0.35802469135802467,0.19753086419753085,0.13580246913580246,0.07407407407407407,0.1111111111111111
12,30,17,10,7,10,0.13953488372093023,0.3488372093023256,0.19767441860465115,0.11627906976744186,0.08139534883720931,0.11627906976744186
9,21,10,16,10,10,0.11842105263157894,0.27631578947368424,0.13157894736842105,0.21052631578947367,0.13157894736842105,0.13157894736842105
11,24,13,10,5,7,0.15714285714285714,0.34285714285714286,0.18571428571428572,0.14285714285714285,0.07142857142857142,0.1
5,16,17,13,8,12,0.07042253521126761,0.22535211267605634,0.23943661971830985,0.18309859154929578,0.11267605633802817,0.16901408450704225
12,26,9,13,9,5,0.16216216216216217,0.35135135135135137,0.12162162162162163,0.17567567567567569,0.12162162162162163,0.06756756756756757
12,24,14,9,6,7,0.16666666666666666,0.3333333333333333,0.19444444444444445,0.125,0.08333333333333333,0.09722222222222222
8,27,11,13,6,10,0.10666666666666667,0.36,0.14666666666666667,0.17333333333333334,0.08,0.13333333333333333
5,27,13,11,11,11,0.0641025641025641,0.34615384615384615,0.16666666666666666,0.14102564102564102,0.14102564102564102,0.14102564102564102
