Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,pct_Realistic,pct_Investigative,pct_Artistic,pct_Social,pct_Enterprising,pct_Conventional,Predicted_Career
2,4,5,4,5,3,2,3,2,5,3,2,3,3,2,2,4,3,2,3,3,2,2,3,3,8,19,17,13,9,9,0.10666666666666667,0.25333333333333335,0.22666666666666666,0.17333333333333334,0.12,0.12,Data / AI Engineering
3,4,4,4,3,2,3,3,3,2,4,5,3,3,4,3,3,4,3,2,3,3,4,4,5,9,27,13,17,11,7,0.10714285714285714,0.32142857142857145,0.15476190476190477,0.20238095238095238,0.13095238095238096,0.08333333333333333,Data / AI Engineering
2,4,4,5,2,2,2,1,2,3,3,3,5,4,2,2,4,2,5,4,3,1,4,4,4,9,18,15,14,10,11,0.11688311688311688,0.23376623376623376,0.19480519480519481,0.18181818181818182,0.12987012987012986,0.14285714285714285,Data / AI Engineering
1,2,3,3,3,4,2,3,3,4,4,2,3,4,3,2,5,3,4,4,5,5,3,4,4,11,22,16,14,9,11,0.13253012048192772,0.26506024096385544,0.1927710843373494,0.1686746987951807,0.10843373493975904,0.13253012048192772,Design & UI/UX Engineering
4,2,4,5,1,3,1,3,4,5,3,5,3,1,3,3,3,1,3,3,4,3,2,2,2,6,24,14,11,9,9,0.0821917808219178,0.3287671232876712,0.1917808219178082,0.1506849315068493,0.1232876712328767,0.1232876712328767,Data / AI Engineering
3,4,2,4,2,2,3,2,2,2,5,3,2,3,3,3,4,5,2,2,3,1,1,4,2,9,19,12,16,7,6,0.13043478260869565,0.2753623188405797,0.17391304347826086,0.2318840579710145,0.10144927536231885,0.08695652173913043,Data / AI Engineering
3,4,4,5,4,3,2,1,3,3,2,2,2,5,4,3,5,3,2,5,4,2,3,3,2,11,23,15,12,8,10,0.13924050632911392,0.2911392405063291,0.189873417721519,0.1518987341772152,0.10126582278481013,0.12658227848101267,Data / AI Engineering
5,5,2,4,2,3,2,2,3,2,4,3,3,2,2,4,4,3,3,4,1,4,2,4,3,5,27,12,14,8,10,0.06578947368421052,0.35526315789473684,0.15789473684210525,0.18421052631578946,0.10526315789473684,0.13157894736842105,Data / AI Engineering
3,3,3,3,2,4,1,4,3,2,3,2,3,4,4,5,2,4,4,1,2,4,4,3,2,7,30,10,12,8,8,0.09333333333333334,0.4,0.13333333333333333,0.16,0.10666666666666667,0.10666666666666667,Data / AI Engineering
3,3,4,4,3,3,3,3,3,3,4,5,4,3,4,3,1,3,1,3,3,5,5,3,1,9,29,11,12,9,10,0.1125,0.3625,0.1375,0.15,0.1125,0.125,Data / AI Engineering
1,3,4,2,5,3,3,4,5,3,3,4,2,4,2,3,3,3,4,4,2,3,2,3,3,9,23,13,11,13,9,0.11538461538461539,0.2948717948717949,0.16666666666666666,0.14102564102564102,0.16666666666666666,0.11538461538461539,Data / AI Engineering
4,2,5,4,3,5,2,2,1,5,4,3,3,2,4,3,4,3,3,3,2,3,5,5,5,6,24,19,16,9,11,0.07058823529411765,0.2823529411764706,0.2235294117647059,0.18823529411764706,0.10588235294117647,0.12941176470588237,Data / AI Engineering
2,2,3,3,4,3,5,3,3,2,1,4,4,2,2,3,5,3,4,4,3,2,3,3,4,10,20,13,11,12,11,0.12987012987012986,0.2597402597402597,0.16883116883116883,0.14285714285714285,0.15584415584415584,0.14285714285714285,Data / AI Engineering
5,4,2,2,5,4,3,3,3,3,2,2,4,2,2,3,3,5,1,5,4,1,3,3,2,9,24,11,11,8,13,0.11842105263157894,0.3157894736842105,0.14473684210526316,0.14473684210526316,0.10526315789473684,0.17105263157894737,Data / AI Engineering
2,2,5,4,4,4,2,2,3,3,4,3,3,4,3,3,5,2,4,4,3,3,2,5,3,9,20,18,13,11,11,0.10975609756097561,0.24390243902439024,0.21951219512195122,0.15853658536585366,0.13414634146341464,0.13414634146341464,Design & UI/UX Engineering
2,4,2,2,1,4,2,5,1,5,3,3,4,3,3,4,3,3,3,4,3,1,2,4,3,8,22,14,11,7,12,0.10810810810810811,0.2972972972972973,0.1891891891891892,0.14864864864864866,0.0945945945945946,0.16216216216216217,Data / AI Engineering
4,4,3,2,2,3,2,4,3,4,3,3,4,5,5,3,2,5,3,4,2,4,3,2,2,9,30,11,12,8,11,0.1111111111111111,0.37037037037037035,0.13580246913580246,0.14814814814814814,0.09876543209876543,0.13580246913580246,Data / AI Engineering
2,2,2,5,2,5,3,3,2,4,4,3,5,3,1,2,3,5,2,5,4,2,4,4,4,10,18,13,18,7,15,0.12345679012345678,0.2222222222222222,0.16049382716049382,0.2222222222222222,0.08641975308641975,0.18518518518518517,Data / AI Engineering
1,2,3,3,4,3,3,3,4,4,4,4,3,4,1,3,3,3,2,2,5,3,4,3,3,12,21,13,13,10,8,0.15584415584415584,0.2727272727272727,0.16883116883116883,0.16883116883116883,0.12987012987012986,0.1038961038961039,Data / AI Engineering
4,2,3,3,3,4,3,3,4,2,4,3,5,3,4,5,3,4,3,5,2,4,5,3,3,8,31,11,14,9,14,0.09195402298850575,0.3563218390804598,0.12643678160919541,0.16091954022988506,0.10344827586206896,0.16091954022988506,Data / AI Engineering
4,5,2,3,4,3,2,2,2,3,3,5,2,4,3,3,4,2,4,3,3,3,5,2,2,9,27,11,10,13,8,0.11538461538461539,0.34615384615384615,0.14102564102564102,0.1282051282051282,0.16666666666666666,0.10256410256410256,Electronics & Communication Engineering
2,2,2,4,4,4,2,5,2,4,3,1,5,5,2,3,3,3,4,5,3,2,2,2,3,10,20,11,13,9,14,0.12987012987012986,0.2597402597402597,0.14285714285714285,0.16883116883116883,0.11688311688311688,0.18181818181818182,Data / AI Engineering
1,2,3,3,4,5,4,3,4,4,5,4,3,4,4,4,4,4,3,4,5,3,3,4,2,13,24,15,14,11,12,0.14606741573033707,0.2696629213483146,0.16853932584269662,0.15730337078651685,0.12359550561797752,0.1348314606741573,Data / AI Engineering
3,3,3,5,3,3,2,4,4,5,4,3,3,5,3,3,4,4,3,3,4,2,3,2,5,11,25,14,18,9,9,0.12790697674418605,0.29069767441860467,0.16279069767441862,0.20930232558139536,0.10465116279069768,0.10465116279069768,Data / AI Engineering
1,2,3,5,4,2,3,2,1,3,2,3,4,3,2,2,4,5,4,5,4,1,2,3,3,10,13,13,15,11,11,0.136986301369863,0.1780821917808219,0.1780821917808219,0.2054794520547945,0.1506849315068493,0.1506849315068493,Civil Engineering
3,3,2,4,3,5,3,3,4,3,4,4,4,4,3,4,2,5,3,3,3,2,4,2,3,10,26,9,16,10,12,0.12048192771084337,0.3132530120481928,0.10843373493975904,0.1927710843373494,0.12048192771084337,0.14457831325301204,Data / AI Engineering
1,3,1,1,4,5,3,2,3,3,2,5,5,3,3,3,1,3,2,3,3,5,4,2,4,9,24,7,10,11,13,0.12162162162162163,0.32432432432432434,0.0945945945945946,0.13513513513513514,0.14864864864864866,0.17567567567567569,Data / AI Engineering
4,4,3,3,4,3,4,4,4,2,5,3,3,2,5,3,2,4,3,3,4,5,3,5,5,10,32,12,17,10,9,0.1111111111111111,0.35555555555555557,0.13333333333333333,0.18888888888888888,0.1111111111111111,0.1,Data / AI Engineering
3,3,3,4,3,3,1,3,4,3,5,3,2,3,4,5,3,4,4,4,4,4,1,4,4,8,27,13,17,10,9,0.09523809523809523,0.32142857142857145,0.15476190476190477,0.20238095238095238,0.11904761904761904,0.10714285714285714,Data / AI Engineering
3,4,3,3,2,2,3,5,4,3,4,1,4,1,4,3,2,4,3,3,3,4,4,2,4,7,31,10,15,6,9,0.08974358974358974,0.3974358974358974,0.1282051282051282,0.19230769230769232,0.07692307692307693,0.11538461538461539,Data / AI Engineering
3,1,4,5,4,3,3,3,5,4,3,4,3,3,3,3,4,4,3,4,3,3,1,5,3,9,22,17,15,11,10,0.10714285714285714,0.2619047619047619,0.20238095238095238,0.17857142857142858,0.13095238095238096,0.11904761904761904,Data / AI Engineering
4,1,5,4,4,2,4,2,2,5,4,3,4,3,3,3,3,4,3,4,4,4,4,2,5,11,23,15,17,10,10,0.12790697674418605,0.26744186046511625,0.1744186046511628,0.19767441860465115,0.11627906976744186,0.11627906976744186,Data / AI Engineering
2,3,2,3,3,4,3,5,3,3,4,4,3,4,4,3,4,3,3,4,3,2,2,5,2,10,24,14,12,10,11,0.12345679012345678,0.2962962962962963,0.1728395061728395,0.14814814814814814,0.12345679012345678,0.13580246913580246,Design & UI/UX Engineering
2,1,2,2,5,4,3,5,4,3,1,5,2,3,4,5,4,4,4,4,5,3,3,3,2,11,27,12,9,14,10,0.13253012048192772,0.3253012048192771,0.14457831325301204,0.10843373493975904,0.1686746987951807,0.12048192771084337,Data / AI Engineering
4,3,3,2,2,3,4,5,3,2,4,2,3,3,3,4,2,2,3,1,3,4,4,3,4,10,30,10,12,7,7,0.13157894736842105,0.39473684210526316,0.13157894736842105,0.15789473684210525,0.09210526315789473,0.09210526315789473,Data / AI Engineering
3,3,4,4,3,3,2,2,2,5,2,2,2,4,3,4,3,3,2,5,2,3,4,4,3,8,24,16,12,7,10,0.1038961038961039,0.3116883116883117,0.2077922077922078,0.15584415584415584,0.09090909090909091,0.12987012987012986,Data / AI Engineering
4,4,3,4,5,2,2,4,5,1,5,5,2,4,5,4,3,2,2,2,4,4,3,3,1,10,33,10,12,12,6,0.12048192771084337,0.39759036144578314,0.12048192771084337,0.14457831325301204,0.14457831325301204,0.07228915662650602,Civil Engineering
3,4,1,3,4,2,5,3,4,3,4,3,4,3,3,2,3,2,2,3,5,4,2,3,4,13,25,10,13,9,9,0.16455696202531644,0.31645569620253167,0.12658227848101267,0.16455696202531644,0.11392405063291139,0.11392405063291139,Mechanical Engineering
3,5,3,4,3,3,3,4,1,2,3,1,4,2,1,5,5,4,4,3,3,4,3,3,4,8,26,13,15,8,10,0.1,0.325,0.1625,0.1875,0.1,0.125,Data / AI Engineering
2,4,3,2,4,2,4,3,2,3,3,3,4,4,3,2,2,3,2,3,4,4,3,3,3,12,23,11,11,9,9,0.16,0.30666666666666664,0.14666666666666667,0.14666666666666667,0.12,0.12,Data / AI Engineering
1,2,4,2,4,5,4,3,4,4,3,2,3,3,3,3,4,3,4,4,2,1,4,5,3,9,21,17,11,10,12,0.1125,0.2625,0.2125,0.1375,0.125,0.15,Data / AI Engineering
2,1,4,4,2,1,4,3,2,3,3,4,3,3,4,3,3,2,3,2,4,5,2,1,4,11,22,11,13,9,6,0.1527777777777778,0.3055555555555556,0.1527777777777778,0.18055555555555555,0.125,0.08333333333333333,Data / AI Engineering
3,2,4,2,5,4,4,5,2,4,3,4,5,4,2,3,2,5,3,3,4,2,5,4,2,12,24,14,12,12,12,0.13953488372093023,0.27906976744186046,0.16279069767441862,0.13953488372093023,0.13953488372093023,0.13953488372093023,Data / AI Engineering
2,4,4,4,4,2,3,5,3,3,4,4,3,5,2,4,3,3,5,4,4,4,3,2,2,12,27,12,13,13,9,0.13953488372093023,0.313953488372093,0.13953488372093023,0.1511627906976744,0.1511627906976744,0.10465116279069768,Data / AI Engineering
2,5,2,3,3,3,4,5,4,3,3,3,5,3,5,5,4,3,1,3,2,4,4,4,3,9,34,13,12,7,11,0.10465116279069768,0.3953488372093023,0.1511627906976744,0.13953488372093023,0.08139534883720931,0.12790697674418605,Data / AI Engineering
3,5,3,5,4,1,5,3,4,4,3,2,3,3,2,4,5,3,2,3,5,2,3,3,2,13,26,15,13,8,7,0.15853658536585366,0.3170731707317073,0.18292682926829268,0.15853658536585366,0.0975609756097561,0.08536585365853659,Design & UI/UX Engineering
4,3,3,2,3,4,4,5,3,3,4,2,1,3,4,2,5,2,3,3,5,5,4,4,4,12,30,15,12,8,8,0.1411764705882353,0.35294117647058826,0.17647058823529413,0.1411764705882353,0.09411764705882353,0.09411764705882353,Data / AI Engineering
4,2,3,3,3,3,4,4,3,5,2,3,2,1,3,3,5,4,2,5,4,4,3,3,2,9,26,16,11,8,10,0.1125,0.325,0.2,0.1375,0.1,0.125,Data / AI Engineering
4,5,5,3,3,3,1,3,3,3,1,4,2,2,1,3,5,5,4,2,3,2,4,4,4,6,25,17,13,11,7,0.0759493670886076,0.31645569620253167,0.21518987341772153,0.16455696202531644,0.13924050632911392,0.08860759493670886,Data / AI Engineering
3,3,2,3,3,3,4,2,4,3,4,2,1,4,4,3,3,4,1,2,4,2,3,2,4,12,24,10,15,6,6,0.1643835616438356,0.3287671232876712,0.136986301369863,0.2054794520547945,0.0821917808219178,0.0821917808219178,Data / AI Engineering
4,3,4,2,2,3,4,3,4,3,4,3,3,2,4,3,1,3,4,1,2,4,5,3,2,8,30,11,11,9,7,0.10526315789473684,0.39473684210526316,0.14473684210526316,0.14473684210526316,0.11842105263157894,0.09210526315789473,Data / AI Engineering
3,4,2,2,1,3,3,5,3,3,3,1,5,3,3,5,3,2,3,5,3,2,4,2,5,9,29,10,12,5,13,0.11538461538461539,0.3717948717948718,0.1282051282051282,0.15384615384615385,0.0641025641025641,0.16666666666666666,Software Engineering
4,3,4,4,4,3,2,2,4,3,4,2,3,5,2,3,4,4,3,2,3,3,4,4,5,10,25,15,17,9,8,0.11904761904761904,0.2976190476190476,0.17857142857142858,0.20238095238095238,0.10714285714285714,0.09523809523809523,Data / AI Engineering
5,3,3,3,3,4,3,4,2,4,4,3,2,2,4,3,3,2,4,4,3,3,3,2,5,8,27,12,14,10,10,0.09876543209876543,0.3333333333333333,0.14814814814814814,0.1728395061728395,0.12345679012345678,0.12345679012345678,Civil Engineering
3,4,5,4,4,3,3,2,3,2,3,4,3,3,3,4,3,4,3,3,5,2,2,4,3,11,23,14,14,11,9,0.13414634146341464,0.2804878048780488,0.17073170731707318,0.17073170731707318,0.13414634146341464,0.10975609756097561,Design & UI/UX Engineering
3,3,4,4,3,3,5,5,3,2,4,3,1,5,2,3,3,3,4,3,4,3,4,4,2,14,26,13,13,10,7,0.1686746987951807,0.3132530120481928,0.1566265060240964,0.1566265060240964,0.12048192771084337,0.08433734939759036,Data / AI Engineering
4,2,4,3,5,3,4,3,3,4,1,2,2,3,5,3,3,3,4,2,4,4,4,3,4,11,28,14,11,11,7,0.13414634146341464,0.34146341463414637,0.17073170731707318,0.13414634146341464,0.13414634146341464,0.08536585365853659,Data / AI Engineering
2,5,2,1,4,4,3,5,5,4,5,4,3,1,4,3,5,3,3,4,3,5,4,3,2,7,33,14,11,11,11,0.08045977011494253,0.3793103448275862,0.16091954022988506,0.12643678160919541,0.12643678160919541,0.12643678160919541,Data / AI Engineering
4,2,3,3,3,2,3,1,4,3,2,4,2,3,4,1,3,3,5,3,2,3,2,4,3,8,21,13,11,12,7,0.1111111111111111,0.2916666666666667,0.18055555555555555,0.1527777777777778,0.16666666666666666,0.09722222222222222,Design & UI/UX Engineering
5,3,2,3,1,1,3,4,1,4,4,3,5,4,3,2,1,3,3,2,3,3,3,2,4,10,24,9,14,7,8,0.1388888888888889,0.3333333333333333,0.125,0.19444444444444445,0.09722222222222222,0.1111111111111111,Data / AI Engineering
3,2,4,4,3,4,3,4,3,2,4,2,3,3,3,3,1,4,3,3,2,2,2,4,4,8,22,11,16,8,10,0.10666666666666667,0.29333333333333333,0.14666666666666667,0.21333333333333335,0.10666666666666667,0.13333333333333333,Data / AI Engineering
3,5,2,4,4,2,4,4,4,3,3,4,4,1,5,3,4,4,2,3,2,4,4,4,4,7,32,13,15,10,9,0.08139534883720931,0.37209302325581395,0.1511627906976744,0.1744186046511628,0.11627906976744186,0.10465116279069768,Data / AI Engineering
5,4,3,1,2,4,5,3,4,3,3,2,3,3,4,4,3,3,3,1,3,4,5,4,3,11,33,13,10,7,8,0.13414634146341464,0.4024390243902439,0.15853658536585366,0.12195121951219512,0.08536585365853659,0.0975609756097561,Data / AI Engineering
5,3,4,3,4,3,1,5,2,5,5,5,4,4,1,2,2,2,4,3,1,4,2,3,5,6,24,14,15,13,10,0.07317073170731707,0.2926829268292683,0.17073170731707318,0.18292682926829268,0.15853658536585366,0.12195121951219512,Civil Engineering
2,1,3,4,5,3,3,3,4,5,1,3,2,4,3,3,3,3,3,4,3,3,3,4,3,10,22,15,11,11,9,0.1282051282051282,0.28205128205128205,0.19230769230769232,0.14102564102564102,0.14102564102564102,0.11538461538461539,Data / AI Engineering
1,4,2,2,2,5,2,5,4,3,3,3,4,4,4,3,3,3,3,5,4,1,4,3,3,10,26,11,11,8,14,0.125,0.325,0.1375,0.1375,0.1,0.175,Data / AI Engineering
3,4,4,2,3,3,2,2,4,4,4,4,4,2,3,4,4,4,4,4,4,3,2,3,2,8,25,15,12,11,11,0.0975609756097561,0.3048780487804878,0.18292682926829268,0.14634146341463414,0.13414634146341464,0.13414634146341464,Data / AI Engineering
2,3,3,3,1,3,3,2,4,5,1,2,4,2,4,3,4,1,4,2,3,3,4,3,1,8,25,15,6,7,9,0.11428571428571428,0.35714285714285715,0.21428571428571427,0.08571428571428572,0.1,0.12857142857142856,Data / AI Engineering
3,5,5,3,3,4,2,3,4,5,5,3,2,3,1,2,4,2,3,2,4,3,3,4,3,9,24,18,13,9,8,0.1111111111111111,0.2962962962962963,0.2222222222222222,0.16049382716049382,0.1111111111111111,0.09876543209876543,Data / AI Engineering
4,2,2,3,3,2,3,4,3,3,4,4,3,3,3,2,1,3,5,4,4,4,3,3,2,10,25,9,12,12,9,0.12987012987012986,0.3246753246753247,0.11688311688311688,0.15584415584415584,0.15584415584415584,0.11688311688311688,Data / AI Engineering
3,4,4,3,4,3,4,2,1,2,2,4,3,3,4,3,3,4,4,4,3,4,2,1,4,10,23,10,13,12,10,0.1282051282051282,0.2948717948717949,0.1282051282051282,0.16666666666666666,0.15384615384615385,0.1282051282051282,Data / AI Engineering
3,2,2,5,2,5,2,4,3,4,4,3,3,2,4,2,3,3,1,3,5,4,3,1,3,9,25,10,15,6,11,0.11842105263157894,0.32894736842105265,0.13157894736842105,0.19736842105263158,0.07894736842105263,0.14473684210526316,Data / AI Engineering
4,2,4,4,5,3,3,4,4,3,2,4,5,2,2,3,2,3,4,3,4,1,2,3,1,9,22,12,10,13,11,0.11688311688311688,0.2857142857142857,0.15584415584415584,0.12987012987012986,0.16883116883116883,0.14285714285714285,Data / AI Engineering
4,5,3,3,2,2,3,4,5,4,2,3,3,4,5,3,2,2,3,3,4,4,4,3,2,11,34,12,9,8,8,0.13414634146341464,0.4146341463414634,0.14634146341463414,0.10975609756097561,0.0975609756097561,0.0975609756097561,Data / AI Engineering
5,1,3,5,3,3,3,3,2,1,5,2,3,3,4,1,3,5,2,3,2,2,3,2,4,8,21,9,19,7,9,0.1095890410958904,0.2876712328767123,0.1232876712328767,0.2602739726027397,0.0958904109589041,0.1232876712328767,Data / AI Engineering
5,3,4,2,3,3,4,4,3,3,2,4,4,3,3,3,3,3,5,3,3,2,4,3,2,10,27,13,9,12,10,0.12345679012345678,0.3333333333333333,0.16049382716049382,0.1111111111111111,0.14814814814814814,0.12345679012345678,Data / AI Engineering
4,4,2,3,4,2,4,1,4,2,5,3,2,3,4,3,4,5,1,5,3,2,2,3,5,10,24,11,18,8,9,0.125,0.3,0.1375,0.225,0.1,0.1125,Data / AI Engineering
3,5,2,3,3,3,4,3,1,3,3,4,4,2,4,1,1,3,4,3,3,3,2,3,2,9,22,9,11,11,10,0.125,0.3055555555555556,0.125,0.1527777777777778,0.1527777777777778,0.1388888888888889,Data / AI Engineering
2,4,2,4,3,3,1,4,2,2,3,4,4,2,4,5,4,3,2,3,4,3,4,4,1,7,28,12,11,9,10,0.09090909090909091,0.36363636363636365,0.15584415584415584,0.14285714285714285,0.11688311688311688,0.12987012987012986,Data / AI Engineering
4,2,3,4,5,5,4,3,3,4,3,5,3,3,4,3,4,2,4,2,3,4,3,5,3,10,26,16,12,14,10,0.11363636363636363,0.29545454545454547,0.18181818181818182,0.13636363636363635,0.1590909090909091,0.11363636363636363,Data / AI Engineering
4,2,3,4,4,3,4,1,3,4,4,4,3,4,2,4,3,3,2,1,5,3,2,4,3,13,21,14,14,10,7,0.16455696202531644,0.26582278481012656,0.17721518987341772,0.17721518987341772,0.12658227848101267,0.08860759493670886,Data / AI Engineering
4,4,4,3,4,3,3,3,1,3,3,2,1,4,2,5,2,3,2,4,3,2,1,2,1,10,22,11,10,8,8,0.14492753623188406,0.3188405797101449,0.15942028985507245,0.14492753623188406,0.11594202898550725,0.11594202898550725,Data / AI Engineering
4,3,3,3,3,2,2,3,3,4,2,3,2,4,4,1,3,2,2,3,2,2,2,4,3,8,22,14,10,8,7,0.11594202898550725,0.3188405797101449,0.2028985507246377,0.14492753623188406,0.11594202898550725,0.10144927536231885,Data / AI Engineering
2,3,2,2,5,4,3,4,4,2,4,5,2,3,4,3,4,3,3,2,5,4,3,3,1,11,27,11,10,13,8,0.1375,0.3375,0.1375,0.125,0.1625,0.1,Data / AI Engineering
4,4,3,4,3,4,1,4,4,3,3,3,4,3,3,5,4,2,4,2,3,4,4,2,2,7,32,12,11,10,10,0.08536585365853659,0.3902439024390244,0.14634146341463414,0.13414634146341464,0.12195121951219512,0.12195121951219512,Data / AI Engineering
2,2,3,2,5,4,2,3,2,3,3,5,3,2,4,4,2,3,5,3,4,5,5,2,3,8,27,10,11,15,10,0.09876543209876543,0.3333333333333333,0.12345679012345678,0.13580246913580246,0.18518518518518517,0.12345679012345678,Data / AI Engineering
4,3,4,2,4,4,5,5,2,2,4,3,4,3,1,3,2,3,4,3,4,3,3,4,3,12,24,12,12,11,11,0.14634146341463414,0.2926829268292683,0.14634146341463414,0.14634146341463414,0.13414634146341464,0.13414634146341464,Data / AI Engineering
4,5,3,2,2,2,5,5,3,2,3,4,4,3,4,4,3,1,3,2,3,5,4,3,3,11,34,11,9,9,8,0.13414634146341464,0.4146341463414634,0.13414634146341464,0.10975609756097561,0.10975609756097561,0.0975609756097561,Mechanical Engineering
3,3,3,5,3,4,2,4,2,3,3,5,4,2,3,2,2,3,4,5,3,2,2,4,5,7,21,12,16,12,13,0.08641975308641975,0.25925925925925924,0.14814814814814814,0.19753086419753085,0.14814814814814814,0.16049382716049382,Data / AI Engineering
1,1,5,4,2,4,1,3,3,4,3,3,2,3,2,3,2,5,4,3,3,2,3,3,5,7,18,14,17,9,9,0.0945945945945946,0.24324324324324326,0.1891891891891892,0.22972972972972974,0.12162162162162163,0.12162162162162163,Data / AI Engineering
2,4,5,3,5,4,3,3,4,5,2,2,3,2,3,4,4,3,3,4,1,2,3,5,3,6,25,19,11,10,11,0.07317073170731707,0.3048780487804878,0.23170731707317074,0.13414634146341464,0.12195121951219512,0.13414634146341464,Data / AI Engineering
2,4,2,2,2,3,2,2,5,4,4,2,3,3,4,3,2,3,3,4,4,5,4,4,3,9,29,12,12,7,10,0.11392405063291139,0.3670886075949367,0.1518987341772152,0.1518987341772152,0.08860759493670886,0.12658227848101267,Design & UI/UX Engineering
3,5,5,3,3,3,3,4,4,5,4,3,4,2,4,5,3,2,2,2,2,4,3,3,4,7,32,16,13,8,9,0.08235294117647059,0.3764705882352941,0.18823529411764706,0.15294117647058825,0.09411764705882353,0.10588235294117647,Data / AI Engineering
3,5,4,4,2,4,2,5,4,4,2,5,4,2,4,5,4,2,4,4,2,4,4,2,2,6,34,14,10,11,12,0.06896551724137931,0.39080459770114945,0.16091954022988506,0.11494252873563218,0.12643678160919541,0.13793103448275862,Data / AI Engineering
1,3,1,4,3,2,3,3,4,3,4,3,1,4,4,2,3,4,3,3,4,4,2,4,5,11,23,11,17,9,6,0.14285714285714285,0.2987012987012987,0.14285714285714285,0.22077922077922077,0.11688311688311688,0.07792207792207792,Civil Engineering
3,4,5,4,3,4,4,3,3,5,2,5,3,3,3,1,4,4,2,3,5,2,2,4,5,12,21,18,15,10,10,0.13953488372093023,0.2441860465116279,0.20930232558139536,0.1744186046511628,0.11627906976744186,0.11627906976744186,Design & UI/UX Engineering
3,4,5,1,3,4,5,4,2,5,2,3,3,5,4,3,4,3,4,1,3,3,4,4,3,13,27,18,9,10,8,0.15294117647058825,0.3176470588235294,0.21176470588235294,0.10588235294117647,0.11764705882352941,0.09411764705882353,Data / AI Engineering
